epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3834359049797058,2.688349723815918,0.001,0.597987949848175,1.6595675945281982
1,0.6060118079185486,1.6247693300247192,0.001,0.6561312079429626,1.4250435829162598
2,0.6696029901504517,1.3601537942886353,0.001,0.6934410929679871,1.277185082435608
3,0.7066219449043274,1.2007912397384644,0.001,0.719225287437439,1.1852259635925293
4,0.7307113409042358,1.0966194868087769,0.001,0.7215225100517273,1.177327275276184
5,0.7803692817687988,0.9034286737442017,0.0002,0.7612088322639465,1.0258042812347412
6,0.7951477766036987,0.8439129590988159,0.0002,0.7707540988922119,0.9900516271591187
7,0.8042605519294739,0.802806556224823,0.0002,0.7671895027160645,1.0047188997268677
8,0.8098338842391968,0.7784802913665771,0.0002,0.7751901149749756,0.979293167591095
9,0.8180617690086365,0.7480005621910095,0.0002,0.7733681797981262,0.9930474758148193
10,0.8272669911384583,0.7151498794555664,2e-05,0.7802598476409912,0.9646795988082886
11,0.8282575011253357,0.7061744928359985,2e-05,0.7801409959793091,0.9663140773773193
12,0.8293404579162598,0.7037172317504883,2e-05,0.7814876437187195,0.9643442034721375
13,0.832140326499939,0.6939674615859985,2e-05,0.7810519933700562,0.9672324657440186
14,0.8314271569252014,0.6922144293785095,2e-05,0.7810123562812805,0.9669238924980164
15,0.8337119221687317,0.6876816749572754,5e-07,0.7819232940673828,0.9638253450393677
16,0.8334081768989563,0.6843951344490051,5e-07,0.7813292145729065,0.9636462330818176
17,0.8325101137161255,0.6904134750366211,5e-07,0.781566858291626,0.965465247631073
18,0.8344250917434692,0.684948205947876,5e-07,0.7812104225158691,0.963083028793335
19,0.8354024291038513,0.6851546168327332,5e-07,0.7818045020103455,0.9636993408203125
20,0.833672285079956,0.6874001026153564,5e-07,0.7817648649215698,0.9631134867668152
21,0.8320346474647522,0.6893879175186157,5e-07,0.7819629311561584,0.9651705026626587
22,0.8360891938209534,0.6831516027450562,5e-07,0.7815272212028503,0.9645856022834778
23,0.8342534303665161,0.684790849685669,5e-07,0.7812895774841309,0.9661787748336792
24,0.8349930047988892,0.6890586018562317,5e-07,0.7816460728645325,0.9646960496902466
25,0.8346628546714783,0.6867357492446899,5e-07,0.7814876437187195,0.9656721949577332
26,0.8323516249656677,0.6893202662467957,5e-07,0.7816460728645325,0.9630119204521179
27,0.8347684741020203,0.6835920214653015,5e-07,0.7815272212028503,0.965358316898346
28,0.8333949446678162,0.68678879737854,5e-07,0.781566858291626,0.966849148273468
29,0.8342270255088806,0.6873252987861633,5e-07,0.7816064357757568,0.9643145203590393
